Bundesland;Name der Institution;Ort;Einrichtungsart;Trägerschaft Hochschulkompass;OA-Webseite der Institution;OA-Webseite der Institution URL;OA-Beauftragte*r;OA-Beauftragte*r Name;OA-Beauftragte*r URL;OA-Beauftragte*r Quelle URL;Ansprechperson für OA;Ansprechperson für OA URL;(Funktions-)Emailadresse;OA Policy;OA Policy Datum2;OA Policy URL;OA-Strategie;OA-Strategie Datum;OA-Strategie URL;OS Policy;OS Policy Datum;OS Policy URL;Zs. Publikationsfonds;Zs. Publikationsfonds URL;Mono. Publikationsfonds;Mono. Publikationsfonds URL;Repositorium;Repositorium URL;Repositorium andere URL;OA-Verlag;OA-Verlag URL;OJS-Standort;OJS-Standort URL;OA-/OS-Preis;OA-/OS-Preis Kategorie;OA-/OS-Preis URL;Berliner Erklärung;Datum Unterzeichnung Berliner Erklärung;OA2020 Expression of Interest;DORA Institution;Jussieu- Appell;Bearbeiter*in;aktualisiert am;Name (Website Ministerium);Affiliation ROR;ROR ID;GRID ID;Wikidata ID;URL Webseite Institution
Bayern;Max-Planck-Institut für Psychiatrie;München;Forschungsorganisation: Max-Planck-Gesellschaft;NA;nein;NA;nein;NA;NA;NA;nein;NA;NA;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für Psychiatrie;Max Planck Institute of Psychiatry;https://ror.org/04dq56617;grid.419548.5;Q1912091;https://www.psych.mpg.de
Bayern;Max-Planck-Institut für Biochemie (MPIB);Planegg;Forschungsorganisation: Max-Planck-Gesellschaft;NA;ja;https://www.biochem.mpg.de/6784157/publishing;nein;NA;NA;NA;ja;https://www.biochem.mpg.de/6784157/publishing;deichsel[at]biochem[?dot]mpg[?dot]de;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für Biochemie (MPIB);Max Planck Institute of Biochemistry;https://ror.org/04py35477;grid.418615.f;Q1912063;https://www.biochem.mpg.de
Berlin;Max-Planck-Institut für Bildungsforschung;Berlin;Forschungsorganisation: Max-Planck-Gesellschaft;NA;ja;https://www.mpib-berlin.mpg.de/open-access-am-mpib;nein;NA;NA;NA;ja;https://www.mpib-berlin.mpg.de/open-access-am-mpib;openaccess[at]mpib-berlin.mpg[?dot]de;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://mpib-berlin.mpg.de/open-access-am-mpib;ja;https://www.mpib-berlin.mpg.de/open-access-am-mpib;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für Bildungsforschung;Max Planck Institute for Human Development;https://ror.org/02pp7px91;grid.419526.d;Q772059;https://www.mpib-berlin.mpg.de
Berlin;Max-Planck-Institut für molekulare Genetik (MPIMG);Berlin;Forschungsorganisation: Max-Planck-Gesellschaft;NA;ja;https://www.molgen.mpg.de/107364/Open_Access;nein;NA;NA;NA;nein;NA;NA;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für molekulare Genetik (MPIMG);Max Planck Institute for Molecular Genetics;https://ror.org/03ate3e03;grid.419538.2;Q1721667;https://www.molgen.mpg.de
Berlin;Fritz-Haber-Institut der Max-Planck-Gesellschaft (FHI);Berlin;Forschungsorganisation: Max-Planck-Gesellschaft;NA;ja;https://www.fhi.mpg.de/112742/open-access;ja;Uta Siebeky;https://www.fhi.mpg.de/112742/open-access;NA;ja;https://openaccess.mpg.de/318587/MPG-Open-Access-Network;library[at]fhi-berlin[?dot]mpg[?dot]de;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Fritz-Haber-Institut der Max-Planck-Gesellschaft (FHI);Fritz Haber Institute of the Max Planck Society;https://ror.org/03k9qs827;grid.418028.7;Q514590;https://www.fhi-berlin.mpg.de
Berlin;Max-Planck-Institut für Wissenschaftsgeschichte (MPIWG);Berlin;Forschungsorganisation: Max-Planck-Gesellschaft;NA;ja;https://www.mpiwg-berlin.mpg.de/de/open-access;nein;NA;NA;NA;ja;https://www.mpiwg-berlin.mpg.de/de/users/urte;urte[at]mpiwg-berlin[?dot]mpg[?dot]de;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für Wissenschaftsgeschichte (MPIWG);Max Planck Institute for the History of Science;https://ror.org/0492sjc74;grid.419556.a;Q318118;https://www.mpiwg-berlin.mpg.de
Brandenburg;Max-Planck-Institut für Kolloid- und Grenzflächenforschung;Potsdam;Forschungsorganisation: Max-Planck-Gesellschaft;NA;ja;https://www.mpikg.mpg.de/open_access;nein;NA;NA;NA;nein;NA;NA;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://mpikg.mpg.de/open_access;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für Kolloid- und Grenzflächenforschung;Max Planck Institute of Colloids and Interfaces;https://ror.org/00pwgnh47;grid.419564.b;Q1912082;https://www.mpikg.mpg.de
Brandenburg;Max-Planck-Institut für molekulare Pflanzenphysiologie (MPI-MP);Potsdam;Forschungsorganisation: Max-Planck-Gesellschaft;NA;nein;NA;nein;NA;NA;NA;nein;NA;NA;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für molekulare Pflanzenphysiologie (MPI-MP);Max Planck Institute of Molecular Plant Physiology;https://ror.org/01fbde567;grid.418390.7;Q910825;https://www.mpimp-golm.mpg.de/
Brandenburg;Max-Planck-Institut für Gravitationsphysik (Albert-Einstein-Institut);Potsdam;Forschungsorganisation: Max-Planck-Gesellschaft;NA;ja;https://www.aei.mpg.de/459897/publishing;nein;NA;NA;NA;ja;https://www.aei.mpg.de/459897/publishing;anja[?dot]lehmann[at]aei[?dot]mpg[?dot]de;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://aei.mpg.de/459673/publishing;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für Gravitationsphysik (Albert-Einstein-Institut);Max Planck Institute for Gravitational Physics;https://ror.org/03sry2h30;grid.450243.4;Q2778415;https://www.aei.mpg.de/
Hamburg;Max-Planck-Institut für Meteorologie (MPI-M);Hamburg;Forschungsorganisation: Max-Planck-Gesellschaft;NA;nein;NA;nein;NA;NA;NA;ja;https://openaccess.mpg.de/318587/MPG-Open-Access-Network;reinhold[at]mpi-magdeburg[?dot]mpg[?dot]de;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für Meteorologie (MPI-M);Max Planck Institute for Meteorology;https://ror.org/05esem239;grid.450268.d;Q1912080;https://www.mpimet.mpg.de/
Niedersachsen;Max-Planck-Institut für Sonnensystemforschung (MPS);Göttingen;Forschungsorganisation: Max-Planck-Gesellschaft;NA;ja;https://www.mps.mpg.de/bibliothek/open-access;nein;NA;NA;NA;ja;https://www.mps.mpg.de/bibliothek;raab[at]mps.mpg[dot]de;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für Sonnensystemforschung (MPS);Max Planck Institute for Solar System Research;https://ror.org/02j6gm739;grid.435826.e;Q470648;https://www.mps.mpg.de/de
Niedersachsen;Max-Planck-Institut für Chemische Ökologie;Göttingen;Forschungsorganisation: Max-Planck-Gesellschaft;NA;ja;http://www.clib-jena.mpg.de/ext/index.php?id=clib-jena;nein;NA;NA;NA;ja;https://openaccess.mpg.de/318587/MPG-Open-Access-Network;lmaack[at]bgc-jena[?dot]mpg[?dot]de;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für Chemische Ökologie;Max Planck Institute for Chemical Ecology;https://ror.org/02ks53214;grid.418160.a;Q700245;https://www.ice.mpg.de/ext/index.php?id=institute&L=1
Niedersachsen;Max-Planck-Institut für experimentelle Medizin;Göttingen;Forschungsorganisation: Max-Planck-Gesellschaft;NA;nein;NA;nein;NA;NA;NA;ja;https://openaccess.mpg.de/318587/MPG-Open-Access-Network;kraemer[at]em[?dot]mpg[?dot]de;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für experimentelle Medizin;Max Planck Institute of Experimental Medicine;https://ror.org/04a7f6w43;grid.419522.9;Q1912106;https://www.em.mpg.de
Sachsen;Max-Planck-Institut für Mathematik in den Naturwissenschaften (MIS);Leipzig;Forschungsorganisation: Max-Planck-Gesellschaft;NA;nein;NA;nein;NA;NA;NA;nein;NA;NA;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für Mathematik in den Naturwissenschaften (MIS);Max Planck Institute for Mathematics in the Sciences;https://ror.org/00ez2he07;grid.419532.8;Q1912085;https://www.mis.mpg.de/
Sachsen;Max-Planck-Institut für Physik komplexer Systeme;Dresden;Forschungsorganisation: Max-Planck-Gesellschaft;NA;nein;NA;nein;NA;NA;NA;nein;NA;NA;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für Physik komplexer Systeme;Max Planck Institute for the Physics of Complex Systems;https://ror.org/01bf9rw71;grid.419560.f;Q1912086;https://www.pks.mpg.de
Sachsen;Max-Planck-Institut für Chemische Physik fester Stoffe (MPI CPfS);Dresden;Forschungsorganisation: Max-Planck-Gesellschaft;NA;ja;https://www.cpfs.mpg.de/de/library/open_access;nein;NA;NA;NA;nein;NA;NA;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für Chemische Physik fester Stoffe (MPI CPfS);Max Planck Institute for Chemical Physics of Solids;https://ror.org/01c997669;grid.419507.e;Q1912059;https://www.cpfs.mpg.de/de
Sachsen;Max-Planck-Institut für evolutionäre Anthropologie (MPI EVA);Leipzig;Forschungsorganisation: Max-Planck-Gesellschaft;NA;nein;NA;nein;NA;NA;NA;ja;https://openaccess.mpg.de/318587/MPG-Open-Access-Network;lausberg[at]eva[?dot]mpg[?dot]de;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für evolutionäre Anthropologie (MPI EVA);Max Planck Institute for Evolutionary Anthropology;https://ror.org/02a33b393;grid.419518.0;Q682926;https://www.eva.mpg.de/german/index.html?Fsize=vcxcvwdvavat
Sachsen;Max-Planck-Institut für Kognitions- und Neurowissenschaften;Leipzig;Forschungsorganisation: Max-Planck-Gesellschaft;NA;ja;https://www.cbs.mpg.de/bibliothek/service/open-access;nein;NA;NA;NA;ja;https://www.cbs.mpg.de/bibliothek/service/open-access;naethe[at]cbs[?dot]mpg[?dot]de;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für Kognitions- und Neurowissenschaften;Max Planck Institute for Human Cognitive and Brain Sciences;https://ror.org/0387jng26;grid.419524.f;Q257792;https://www.cbs.mpg.de
Sachsen;Max-Planck-Institut für molekulare Zellbiologie und Genetik (MPI-CBG);Dresden;Forschungsorganisation: Max-Planck-Gesellschaft;NA;ja;https://www.mpi-cbg.de/services-facilities/core-facilities/library/services/#c2524;nein;NA;NA;NA;nein;NA;NA;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für molekulare Zellbiologie und Genetik (MPI-CBG);Max Planck Institute of Molecular Cell Biology and Genetics;https://ror.org/05b8d3w18;grid.419537.d;Q317361;https://www.mpi-cbg.de/home/
Sachsen-Anhalt;Max-Planck-Institut für Mikrostrukturphysik;Halle;Forschungsorganisation: Max-Planck-Gesellschaft;NA;nein;NA;nein;NA;NA;NA;nein;NA;NA;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für Mikrostrukturphysik;Max Planck Institute of Microstructure Physics;https://ror.org/0095xwr23;grid.450270.4;Q1912088;https://www.mpi-halle.mpg.de/
Sachsen-Anhalt;Max-Planck-Institut für ethnologische Forschung;Halle;Forschungsorganisation: Max-Planck-Gesellschaft;NA;nein;NA;nein;NA;NA;NA;ja;https://openaccess.mpg.de/318587/MPG-Open-Access-Network;mann[at]eth[?dot]mpg[?dot]de;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für ethnologische Forschung;Max Planck Institute for Social Anthropology;https://ror.org/02mavc002;grid.461785.9;Q1636610;https://www.eth.mpg.de
Bayern;Max-Planck-Institut für Steuerrecht und Öffentliche Finanzen;München;Forschungsorganisation: Max-Planck-Gesellschaft;NA;ja;https://www.tax.mpg.de/de/bibliothek_tax/literatursuche/open_access.html;nein;NA;NA;NA;nein;NA;NA;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;NA;https://www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für Steuerrecht und Öffentliche Finanzen;Max Planck Institute for Tax Law and Public Finance;https://ror.org/03gj2cq31;grid.461808.3;Q1912096;https://www.tax.mpg.de/404.html
Hamburg;Max-Planck-Institut für ausländisches und internationales Privatrecht;Hamburg;Forschungsorganisation: Max-Planck-Gesellschaft;NA;nein;NA;nein;NA;NA;NA;ja;https://www.mpipriv.de/894192/schroeder-micheel-david;micheel[at]mpipriv[?dot]de;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;NA;https://mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für ausländisches und internationales Privatrecht;Max Planck Institute for Comparative and International Private Law;https://ror.org/023ahcz89;grid.461770.3;Q1912093;https://www.mpipriv.de/de/pub/aktuelles.cfm
Hamburg;Max-Planck-Institut für Struktur und Dynamik der Materie (MPSD);Hamburg;Forschungsorganisation: Max-Planck-Gesellschaft;NA;ja;https://www.mpsd.mpg.de/375892/open-access;nein;NA;NA;NA;ja;https://www.mpsd.mpg.de/375892/open-access;publications[at]mpsd[?dot]mpg[?dot]de;ja, als MPG;NA;https://openaccess.mpg.de/3544/Positionen;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;NA;https://mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html;nein;NA;ja;https://pure.mpg.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als MPG;2003-10-22T00:00:00Z;ja, als MPG;nein;nein;AW, SK;2021-02-25T23:00:00Z;Max-Planck-Institut für Struktur und Dynamik der Materie (MPSD);Max Planck Institute for the Structure and Dynamics of Matter;https://ror.org/0411b0f77;grid.469852.4;Q19841613;https://www.mpsd.mpg.de/
Niedersachsen;Physikalisch-Technische Bundesanstalt, Braunschweig und Berlin;Braunschweig;Ressortforschung;NA;nein;NA;nein;NA;NA;NA;ja;https://www.ptb.de/cms/ptb/fachabteilungen/abtq/ref-q11/ptb-publica.html;joachim[?dot]meier[at]ptb[?dot]de;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;Recherche fehlt;Recherche fehlt;Recherche fehlt;nein;NA;Recherche fehlt;Recherche fehlt;ja;https://oar.ptb.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;nein;NA;nein;nein;nein;AW, SK;2020-12-27T23:00:00Z;Physikalisch-Technische Bundesanstalt, Braunschweig und Berlin;NA;https://ror.org/05r3f7h03;grid.4764.1;Q470438;https://www.ptb.de/cms/
Baden-Württemberg;Hochschule für Forstwirtschaft Rottenburg;Rottenburg;Hochschule;öffentlich-rechtlich;ja;https://www.hs-rottenburg.net/hochschule/einrichtungen-der-hfr/bibliothek/wissenschaftliches-arbeiten/offene-forschungs-und-lehrressourcen/;nein;NA;NA;NA;ja;https://www.hs-rottenburg.net/hochschule/einrichtungen-der-hfr/bibliothek/wissenschaftliches-arbeiten/offene-forschungs-und-lehrressourcen/;haas[at]hs-rottenburg[?dot]de ;ja;https://www.hs-rottenburg.net/fileadmin/user_upload/Die_Hochschule/Einrichtungen_der_HFR/Informations___Medienzentrum/Bibliothek/Wissenschaftliches_Arbeiten/Einfuehrungsvorlesungen/Open_Access_Policy_HFR_210507.pdf;NA;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;03.06.2022;Hochschule für Forstwirtschaft Rottenburg;NA;https://ror.org/02pnhcc10;grid.449500.c;Q1622175;https://www.hs-rottenburg.net/
Baden-Württemberg;Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg;Ludwigsburg;Hochschule;öffentlich-rechtlich;nein;NA;nein;NA;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;ja;https://opus-hslb.bsz-bw.de/home;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;03.06.2022;Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg;NA;https://ror.org/03gzxs418;grid.507514.2;Q1604537;https://www.hs-ludwigsburg.de/
Baden-Württemberg;Universität Konstanz;Konstanz;Universität;öffentlich-rechtlich;ja;https://www.kim.uni-konstanz.de/openscience/publizieren-und-open-access/;nein;NA;https://www.kim.uni-konstanz.de/openscience/team/;NA;ja;https://www.kim.uni-konstanz.de/openscience/team/;"openscience[at]uni-konstanz[?dot]de; open.access[at]uni-konstanz[?dot]de ";ja;NA;https://www.kim.uni-konstanz.de/openscience/publizieren-und-open-access/open-access-policy/;nein;NA;NA;ja;2021;https://www.kim.uni-konstanz.de/openscience/open-science-policy/;ja;https://www.kim.uni-konstanz.de/openscience/publizieren-und-open-access/open-access-finanzieren/zeitschriftenartikel/finanzierung-artikel-echte-open-access-zeitschriften/;ja;https://www.kim.uni-konstanz.de/openscience/publizieren-und-open-access/open-access-finanzieren/buecher/;ja;https://kops.uni-konstanz.de/;NA;nein;NA;ja;https://www.kim.uni-konstanz.de/openscience/publizieren-und-open-access/open-access-zeitschriften/;nein;NA;NA;ja;2012-01-26T00:00:00Z;nein;nein;nein;LM;03.06.2022;Universität Konstanz;University of Konstanz;https://ror.org/0546hnb39;grid.9811.1;Q835440;https://www.uni-konstanz.de
Bayern;Ludwig-Maximilians-Universität München;München;Universität;öffentlich-rechtlich;ja;"https://www.ub.uni-muenchen.de/schreiben/open-access-publizieren/index.html; https://www.ub.uni-muenchen.de/schreiben/open-access-publizieren/kompakt/index.html";nein;NA;NA;NA;ja;https://www.ub.uni-muenchen.de/schreiben/open-access-publizieren/kompakt/index.html;open-access[at]ub[?dot]uni-muenchen[?dot]de ;nein;NA;NA;nein;NA;NA;nein;NA;NA;ja;https://oa-fund.ub.uni-muenchen.de/;ja;https://oa-fund.ub.uni-muenchen.de/;ja;"https://epub.ub.uni-muenchen.de/help/index.html; https://edoc.ub.uni-muenchen.de/";NA;ja;https://www.ub.uni-muenchen.de/schreiben/open_publishing_lmu/index.html;ja;https://www.ub.uni-muenchen.de/schreiben/open-access-publizieren/kompakt/open_journals_lmu/index.html;nein;NA;NA;nein;NA;nein;nein;nein;LM;03.06.2022;Ludwig-Maximilians-Universität München (LMU);Ludwig-Maximilians-Universität München;https://ror.org/05591te55;grid.5252.0;Q55044;https://www.uni-muenchen.de/index.html
